id,a1,a2,label,topic,new_topic_id
2081_2082,"legal gambling let the population believe that gambling is fine. given this, it is hard to cross the line when gambling start to be harmful. hence, people are much more likely to practice harmful gambling.","gambling is often a ""gateway drug"" to criminal activities, as it often exposes individuals to criminals indulging it as well as leaves them in great debt, desperate for money through whatever means possible.",a2,Gambling should be banned,1
2083_2084,gambling specifically exploits the poor that have less disposable income by advertising in poorer communities and promising large rewards.,gambling is an addiction similar to hard drugs that we ban for people's protection.,a1,Gambling should be banned,1
2085_2086,"a gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice","the social costs of gambling impacts society as a whole by destroying careers, families, and economic trickle down when money spent on gambling doesn't get spent on other things.",a2,Gambling should be banned,1
2087_2088,gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead.,gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely.,a1,Gambling should be banned,1
2089_2090,gambling affects asymmetrically people from a disadvantaged socioeconomic background and create less equality of opportunities for them,"the damage is mainly to poor people, whom can lose their house and entire savings",a1,Gambling should be banned,1
2091_2092,"gambling is a situation of incomplete data and people can't know their winning percentage, therefore the decision to gamble is not informed","gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy.",a2,Gambling should be banned,1
2093_2094,"given the high stakes and shady nature of gambling, casinos are almost inherently linked with crime organizations. when more of them are open, more money flows into the wrong hands.","even winning is bad. those who win don't know what to do with their money, are likely to spend it quickly on new things, and are volunurable to scummers, so eventually they are more harmed.",a1,Gambling should be banned,1
2095_2096,"gambling is especially pernicious in areas with low socioeconomic status, as it provides an easy form of escapism for poorer individuals. those are the instances in which people lose everything they have, which is bad.","people don't understand just how unlikely it is to win, the odds are so low that our brain can't comprehend it, which makes people think that their chances of winning are higher.",a1,Gambling should be banned,1
2088_2092,gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely.,"gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy.",a2,Gambling should be banned,1
2097_2090,casinos often host dogfights and horse racing that promotes animal cruelty.,"the damage is mainly to poor people, whom can lose their house and entire savings",a2,Gambling should be banned,1
2098_2099,"irregardlessly of choice, because of the addictive nature of those places many people are going to lose all of their money, and create much more harms to them and to the society that supports them","psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.",a2,Gambling should be banned,1
