,id,a1,a2,label,topic,new_topic_id
0,2081_2082,"legal gambling let the population believe that gambling is fine. given this, it is hard to cross the line when gambling start to be harmful. hence, people are much more likely to practice harmful gambling.","gambling is often a ""gateway drug"" to criminal activities, as it often exposes individuals to criminals indulging it as well as leaves them in great debt, desperate for money through whatever means possible.",a2,Gambling should be banned,1
1,2083_2084,gambling specifically exploits the poor that have less disposable income by advertising in poorer communities and promising large rewards.,gambling is an addiction similar to hard drugs that we ban for people's protection.,a1,Gambling should be banned,1
2,2085_2086,"a gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice","the social costs of gambling impacts society as a whole by destroying careers, families, and economic trickle down when money spent on gambling doesn't get spent on other things.",a2,Gambling should be banned,1
3,2087_2088,gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead.,gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely.,a1,Gambling should be banned,1
4,2089_2090,gambling affects asymmetrically people from a disadvantaged socioeconomic background and create less equality of opportunities for them,"the damage is mainly to poor people, whom can lose their house and entire savings",a1,Gambling should be banned,1
5,2091_2092,"gambling is a situation of incomplete data and people can't know their winning percentage, therefore the decision to gamble is not informed","gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy.",a2,Gambling should be banned,1
6,2093_2094,"given the high stakes and shady nature of gambling, casinos are almost inherently linked with crime organizations. when more of them are open, more money flows into the wrong hands.","even winning is bad. those who win don't know what to do with their money, are likely to spend it quickly on new things, and are volunurable to scummers, so eventually they are more harmed.",a1,Gambling should be banned,1
7,2095_2096,"gambling is especially pernicious in areas with low socioeconomic status, as it provides an easy form of escapism for poorer individuals. those are the instances in which people lose everything they have, which is bad.","people don't understand just how unlikely it is to win, the odds are so low that our brain can't comprehend it, which makes people think that their chances of winning are higher.",a1,Gambling should be banned,1
8,2088_2092,gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely.,"gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy.",a2,Gambling should be banned,1
9,2097_2090,casinos often host dogfights and horse racing that promotes animal cruelty.,"the damage is mainly to poor people, whom can lose their house and entire savings",a2,Gambling should be banned,1
10,2098_2099,"irregardlessly of choice, because of the addictive nature of those places many people are going to lose all of their money, and create much more harms to them and to the society that supports them","psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.",a2,Gambling should be banned,1
11,2100_2101,"gambling is addictive, people get andrenalin from the anticipation and exitment, so they spend a lot of money on that instead of caring for their family.",gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,a1,Gambling should be banned,1
12,2102_2085,"gambling is highly addictive, causing a rush of adrenaline with every game, and might even cause people to put more and more of their money in risk, eventually destroying their life","a gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice",a1,Gambling should be banned,1
13,2091_2087,"gambling is a situation of incomplete data and people can't know their winning percentage, therefore the decision to gamble is not informed",gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead.,a2,Gambling should be banned,1
14,2102_2094,"gambling is highly addictive, causing a rush of adrenaline with every game, and might even cause people to put more and more of their money in risk, eventually destroying their life","even winning is bad. those who win don't know what to do with their money, are likely to spend it quickly on new things, and are volunurable to scummers, so eventually they are more harmed.",a1,Gambling should be banned,1
15,2094_2103,"even winning is bad. those who win don't know what to do with their money, are likely to spend it quickly on new things, and are volunurable to scummers, so eventually they are more harmed.",gambling companies advertise misleading information about the chances of winning a bet. people do not realize that the chance of winning is practically zero and give their money on the basis of false information.,a2,Gambling should be banned,1
16,2104_2099,"gambling is mostly done by poor people who don't understand just how unlikely it is to win, specificaly this group is in most need of the money they have, so gambling harms them greately.","psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.",a2,Gambling should be banned,1
17,2100_2091,"gambling is addictive, people get andrenalin from the anticipation and exitment, so they spend a lot of money on that instead of caring for their family.","gambling is a situation of incomplete data and people can't know their winning percentage, therefore the decision to gamble is not informed",a1,Gambling should be banned,1
18,2099_2105,"psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.","it brings people to enormous debts because gambling is made so that it is unlikely for the participant to win, which makes them suffer and fail to continue living a healthy life.",a1,Gambling should be banned,1
19,2106_2084,gambling transfers money from the average person to large corporations in a way that is unjust and harmful.,gambling is an addiction similar to hard drugs that we ban for people's protection.,a2,Gambling should be banned,1
20,2107_2101,casinos promote other harmful behaviors like over-drinking and recklessness that can cause car accidents and other problems.,gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,a1,Gambling should be banned,1
21,2093_2085,"given the high stakes and shady nature of gambling, casinos are almost inherently linked with crime organizations. when more of them are open, more money flows into the wrong hands.","a gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice",a1,Gambling should be banned,1
22,2108_2109,"since casinos are often on indigenous people's land, they bring crime and alcoholism into areas that already are vulnerable to those problems.",gangs and crime organisations own a great share of the profits from gambling. this enables their criminal activity.,a1,Gambling should be banned,1
23,2096_2103,"people don't understand just how unlikely it is to win, the odds are so low that our brain can't comprehend it, which makes people think that their chances of winning are higher.",gambling companies advertise misleading information about the chances of winning a bet. people do not realize that the chance of winning is practically zero and give their money on the basis of false information.,a2,Gambling should be banned,1
24,2089_2109,gambling affects asymmetrically people from a disadvantaged socioeconomic background and create less equality of opportunities for them,gangs and crime organisations own a great share of the profits from gambling. this enables their criminal activity.,a1,Gambling should be banned,1
25,2083_2110,gambling specifically exploits the poor that have less disposable income by advertising in poorer communities and promising large rewards.,"in many countries, gambling managers are criminal organizations. the money they earn causes more crime, more money for weapons and drugs in the region.",a2,Gambling should be banned,1
26,2111_2099,"people are not rational when choosing to continue gambling or stop because of the feeling of being a loser and wanting to change it or ""i can win so much more!"".","psychologically, gambling is highly addictive, and it costs lots of money when you play for prolonged periods of time. given that, it makes people irrationally lose their savings and should therefore be banned, like drugs.",a2,Gambling should be banned,1
27,2107_2088,casinos promote other harmful behaviors like over-drinking and recklessness that can cause car accidents and other problems.,gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely.,a1,Gambling should be banned,1
28,2094_2112,"even winning is bad. those who win don't know what to do with their money, are likely to spend it quickly on new things, and are volunurable to scummers, so eventually they are more harmed.","casinos are made to make you an addict from the moment you get in. like a drug, when you start using it you don't have a real choice to stay or leave",a2,Gambling should be banned,1
29,2081_2095,"legal gambling let the population believe that gambling is fine. given this, it is hard to cross the line when gambling start to be harmful. hence, people are much more likely to practice harmful gambling.","gambling is especially pernicious in areas with low socioeconomic status, as it provides an easy form of escapism for poorer individuals. those are the instances in which people lose everything they have, which is bad.",a2,Gambling should be banned,1
30,2101_2087,gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead.,a2,Gambling should be banned,1
31,2113_2085,"all the people that suffer harshly from gambling - the heavy gamblers, started small. legal gambling leads to much more people starting small and eventually deteriorate to heavy gambling","a gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice",a1,Gambling should be banned,1
32,2114_2106,"people not only hurt themselves by gambling, but also their family. because of the negative externalities it should be banned.",gambling transfers money from the average person to large corporations in a way that is unjust and harmful.,a1,Gambling should be banned,1
33,2107_2090,casinos promote other harmful behaviors like over-drinking and recklessness that can cause car accidents and other problems.,"the damage is mainly to poor people, whom can lose their house and entire savings",a1,Gambling should be banned,1
34,2115_2095,"many people who have debts go to gamble because they think it's their only chance to get the money back, and owe money to the casino, and get into the crime world because of that","gambling is especially pernicious in areas with low socioeconomic status, as it provides an easy form of escapism for poorer individuals. those are the instances in which people lose everything they have, which is bad.",a2,Gambling should be banned,1
35,2092_2116,"gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy.","gambling is addictive because of the sunken sum effect, and so almost always present a much more significant damage than a single game.",a1,Gambling should be banned,1
36,2117_2118,we should ban gambling because it brings in large sums of money for groups that often commit other crimes like prostitution and drug trafficking.,we should ban gambling because no one who was well informed of the way gambling works would ever choose to gamble without emotional manipulation.,a1,Gambling should be banned,1
37,2119_2120,"people are overly positive about chances of success, which makes gambling irrational, hence their choise to gamble is wrong.",we should ban gambling because according to most moral and ethical frameworks it is wrong to take advantage of people like casinos do.,a2,Gambling should be banned,1
38,2104_2121,"gambling is mostly done by poor people who don't understand just how unlikely it is to win, specificaly this group is in most need of the money they have, so gambling harms them greately.","gambling preys on the poorest people, and when these people get addicted and lose their money this has very harmful consequences for their families. they can lose their house, or not have money for food",a2,Gambling should be banned,1
39,2085_2082,"a gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice","gambling is often a ""gateway drug"" to criminal activities, as it often exposes individuals to criminals indulging it as well as leaves them in great debt, desperate for money through whatever means possible.",a2,Gambling should be banned,1
40,2092_2122,"gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy.","gambling is a wast of money, from the first dollar. the government should help people invest their money in beneficial channels and not wast it for nothing.",a1,Gambling should be banned,1
41,2123_2087,casinos lower the property value of the surrounding area by bring large amounts of unsavory people and crime.,gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead.,a2,Gambling should be banned,1
42,2101_2124,gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them.,"gambling effects mainly poor people and hurts them, their families and their neighborhoods to a great extent",a2,Gambling should be banned,1
43,2122_2102,"gambling is a wast of money, from the first dollar. the government should help people invest their money in beneficial channels and not wast it for nothing.","gambling is highly addictive, causing a rush of adrenaline with every game, and might even cause people to put more and more of their money in risk, eventually destroying their life",a2,Gambling should be banned,1
44,2125_2126,"mostly poor people gamble, for the hope that it could bring them to a better place economically without investing tons of work-hours. this, in fact, brings them lower and hurts the most vulnerable even more.","gambling creates irrational choices for people. it makes it very hard to leave,highly focuses on chances of winning and hope and thus means that people cant make a rational choice here which is bad",a2,Gambling should be banned,1
